,word,idf
132,说,0.9065518324122884
30,没有,1.53571130429695
105,后来,1.631021484101275
68,没,1.8428654801615512
66,走,1.9370526952212523
23,里,2.0140137363573807
242,醒,2.083006607844332
112,感觉,2.1119941447175843
262,中,2.1418471078672656
277,找,2.2043674648485996
335,跑,2.306150159158542
228,蛇,2.3802581313122637
453,朋友,2.399676217169365
375,死,2.4813542481836324
179,最后,2.524839360123371
503,很多,2.54731221597543
19,家,2.54731221597543
10,东西,2.570301734200129
221,一条,2.593832231610323
70,回家,2.6179297831893833
754,会,2.642622395779755
15,妈妈,2.6679402037640445
176,已经,2.6679402037640445
428,同学,2.693915690167305
62,起来,2.7205839372494665
131,问,2.747982911437581
128,旁边,2.7761537884042773
20,觉得,2.834994288427211
155,掉,2.834994288427211
269,喜欢,2.8657659470939647
125,时,2.8657659470939647
612,哭,2.8657659470939647
16,家里,2.8657659470939647
38,有点,2.8657659470939647
60,房间,2.897514645408545
1586,男,2.930304468231536
98,当时,2.964206019907217
137,抱,2.964206019907217
117,一下,2.964206019907217
220,出现,2.964206019907217
507,吃,3.035664983889362
389,我家,3.035664983889362
247,带,3.073405311872209
368,很大,3.073405311872209
41,害怕,3.073405311872209
27,那种,3.073405311872209
153,穿,3.1126260250254902
122,昨晚,3.1126260250254902
442,咬,3.1126260250254902
1224,好多,3.1534480195457455
44,爸爸,3.1534480195457455
427,有个,3.1960076339645416
1401,孩子,3.1960076339645416
484,帮,3.1960076339645416
890,现在,3.1960076339645416
367,梦境,3.1960076339645416
1064,房子,3.240459396535375
593,猫,3.240459396535375
1668,买,3.2869794121702682
509,不知,3.2869794121702682
279,血,3.2869794121702682
447,晚上,3.2869794121702682
49,门,3.3357695763397
388,现实,3.3357695763397
1168,鱼,3.3357695763397
627,奶奶,3.3870628707272505
1376,抓,3.3870628707272505
788,女,3.3870628707272505
1916,手机,3.3870628707272505
639,准备,3.3870628707272505
118,谢谢,3.4411300919975263
769,怕,3.4411300919975263
394,过来,3.4411300919975263
129,坐,3.4411300919975263
702,鬼,3.4411300919975263
664,放在,3.4411300919975263
953,告诉,3.4411300919975263
713,站,3.4411300919975263
78,说话,3.498288505837475
454,开,3.498288505837475
1056,前,3.498288505837475
324,路上,3.498288505837475
383,是不是,3.498288505837475
659,有人,3.5589131276539097
207,一会,3.5589131276539097
115,大师,3.5589131276539097
882,父母,3.5589131276539097
1169,身上,3.5589131276539097
974,听,3.5589131276539097
1136,小孩,3.5589131276539097
516,去世,3.5589131276539097
1142,找到,3.5589131276539097
703,追,3.5589131276539097
1176,水,3.5589131276539097
434,女生,3.623451648791481
719,学校,3.623451648791481
111,心里,3.623451648791481
140,这是,3.623451648791481
267,住,3.623451648791481
2930,我妈,3.623451648791481
333,赶紧,3.623451648791481
144,下来,3.623451648791481
413,手,3.623451648791481
708,变成,3.623451648791481
197,穿着,3.623451648791481
298,左边,3.623451648791481
650,清楚,3.6924445202784324
513,钱,3.6924445202784324
975,忽然,3.6924445202784324
272,送,3.6924445202784324
705,高,3.6924445202784324
1553,同事,3.6924445202784324
717,非常,3.7665524924321545
209,睡,3.7665524924321545
219,聊天,3.7665524924321545
208,睡着,3.7665524924321545
1585,以前,3.7665524924321545
472,事,3.7665524924321545
1028,门口,3.7665524924321545
278,身体,3.7665524924321545
338,看着,3.7665524924321545
2126,母亲,3.7665524924321545
1105,路,3.7665524924321545
246,厕所,3.7665524924321545
2878,洗,3.7665524924321545
1500,男人,3.7665524924321545
21,奇怪,3.846595200105691
395,玩,3.846595200105691
864,进去,3.846595200105691
355,拉,3.846595200105691
2228,脚,3.846595200105691
231,头,3.846595200105691
332,河里,3.846595200105691
1195,结婚,3.846595200105691
351,边上,3.846595200105691
458,中间,3.846595200105691
215,姐姐,3.846595200105691
245,躺,3.846595200105691
2606,鞋,3.846595200105691
983,一看,3.846595200105691
91,太,3.846595200105691
121,岁,3.846595200105691
1563,高兴,3.846595200105691
270,回去,3.846595200105691
339,车,3.9336065770953206
2121,父亲,3.9336065770953206
371,之前,3.9336065770953206
373,狗,3.9336065770953206
1771,男友,3.9336065770953206
1450,时间,3.9336065770953206
471,家人,3.9336065770953206
522,白色,3.9336065770953206
399,不让,3.9336065770953206
468,意思,3.9336065770953206
1735,打开,3.9336065770953206
408,似乎,3.9336065770953206
299,右边,3.9336065770953206
417,声音,3.9336065770953206
261,一点,3.9336065770953206
419,写,3.9336065770953206
582,出去,3.9336065770953206
287,换,3.9336065770953206
1458,小女孩,3.9336065770953206
2167,田地,3.9336065770953206
397,离开,3.9336065770953206
652,黑色,3.9336065770953206
758,话,3.9336065770953206
157,见,3.9336065770953206
855,出,3.9336065770953206
1189,捡,3.9336065770953206
818,继续,3.9336065770953206
730,男生,3.9336065770953206
665,不要,3.9336065770953206
11,我爸,3.9336065770953206
1544,女孩,4.028916756899646
2490,澡堂,4.028916756899646
1442,快,4.028916756899646
226,没事,4.028916756899646
2183,一双,4.028916756899646
142,摩托车,4.028916756899646
1538,陌生,4.028916756899646
2134,躲,4.028916756899646
225,笑,4.028916756899646
979,一声,4.028916756899646
819,老师,4.028916756899646
540,吃饭,4.028916756899646
1398,救,4.028916756899646
960,打电话,4.028916756899646
1141,男朋友,4.028916756899646
357,请,4.028916756899646
360,点,4.028916756899646
778,更,4.028916756899646
636,棺材,4.028916756899646
45,楼上,4.028916756899646
572,桌子,4.028916756899646
340,直接,4.028916756899646
1591,树上,4.028916756899646
1378,喊,4.028916756899646
